population,pop2024,pop2023,city,country,growthRate,type,rank,latitude,longitude
1113330,1113330,1096940,Diyarbakir,Turkey,0.0149,w,529,37.9162222,40.2363542
1111750,1111750,1072670,Asmara,Eritrea,0.0364,w,530,15.3389667,38.9326763
1108360,1108360,1080680,Dezhou,China,0.0256,w,531,37.4363704,116.3534091
1108070,1108070,1089890,Jingzhou Hubei,China,0.0167,w,532,30.3375612,112.2337264
1107120,1107120,1094510,Managua,Nicaragua,0.0115,w,533,12.1544035,-86.2737642
1107000,1107000,1086210,Johor Bahru,Malaysia,0.0191,w,534,1.4581986,103.7649059
1101610,1101610,1084620,Kermanshah,Iran,0.0157,w,535,34.486732,46.80872698861859
1101310,1101310,1056950,Nyala,Sudan,0.042,w,536,12.2809691,24.7741672
1100870,1100870,1085990,Oslo,Norway,0.0137,w,537,59.9133301,10.7389701
1100390,1100390,1074880,Kirkuk,Iraq,0.0237,w,538,35.4719308,44.3953896
1097540,1097540,1094810,Yerevan,Armenia,0.0025,w,539,40.1777112,44.5126233
1096460,1096460,1087600,Cartagena,Colombia,0.0081,w,540,10.4265566,-75.5441671
1093690,1093690,1059900,Changshu,China,0.0319,w,541,31.6572954,120.7480757
1091810,1091810,1067650,Huzhou,China,0.0226,w,542,30.8942995,120.0851114
1091740,1091740,1063880,Xuchang,China,0.0262,w,543,34.0457133,113.8225908
1088130,1088130,1070320,Solapur,India,0.0166,w,544,17.84990665,75.27632027348457
1085200,1085200,1079120,Lille,France,0.0056,w,545,50.6365654,3.0635282
1084820,1084820,1069400,Mersin,Turkey,0.0144,w,546,36.7978381,34.6298391
1084470,1084470,1082240,Tbilisi,Georgia,0.0021,w,547,41.6934591,44.8014495
1084120,1084120,1081770,Perm,Russia,0.0022,w,548,58.014965,56.246723
1083720,1083720,1080810,Voronezh,Russia,0.0027,w,549,51.6605982,39.2005858
1075240,1075240,1053040,Denpasar,Indonesia,0.0211,w,550,-8.6524973,115.2191175
1070750,1070750,1060460,Toulouse,France,0.0097,w,551,43.6044622,1.4442469
1070620,1070620,1030970,Blantyre-Limbe,Malawi,0.0385,w,552,-15.8040824,35.0394839
1070120,1070120,1056990,Aracaju,Brazil,0.0124,w,553,-10.9162061,-37.0774655
1067170,1067170,1049690,Marrakech,Morocco,0.0167,w,554,31.6258257,-7.9891608
1066900,1066900,1038960,Qujing,China,0.0269,w,555,25.719931,103.986131
1064170,1064170,1048890,Yueyang,China,0.0146,w,556,29.060703,113.348653
1063710,1063710,1030500,Ilorin,Nigeria,0.0322,w,557,8.4963657,4.5480484
1062570,1062570,1047250,Tampico,Mexico,0.0146,w,558,22.2157619,-97.8577713
1061090,1061090,1057220,Antwerp,Belgium,0.0037,w,559,51.2211097,4.3997081
1059660,1059660,1050460,Teresina,Brazil,0.0088,w,560,-5.0874608,-42.8049571
1055920,1055920,1020400,Guiping,China,0.0348,w,561,23.3916357,110.074064
1055600,1055600,1031090,Warangal,India,0.0238,w,562,17.9820644,79.5970954
1055370,1055370,1054440,Changwon,South Korea,0.0009,w,563,35.227956,128.6818586
1052850,1052850,1033640,Padang,Indonesia,0.0186,w,564,-0.9247587,100.3632561
1050320,1050320,1034130,Saltillo,Mexico,0.0157,w,565,25.4230425,-100.9927509
1049490,1049490,1023760,Xintai,China,0.0251,w,566,35.9094557,117.7620286
1045000,1045000,1022600,Cancun,Mexico,0.0219,w,567,21.1527467,-86.8425761
1042610,1042610,1024940,Cebu City,Philippines,0.0172,w,568,10.2935639,123.9019209
1039230,1039230,1026770,San Miguel de Tucuman,Argentina,0.0121,w,569,-26.8303703,-65.2038133
1034500,1034500,995747,Hamah,Syria,0.0389,w,570,35.1343368,36.7496276
1032770,1032770,1018980,Acapulco de Juarez,Mexico,0.0135,w,571,16.8680495,-99.8940182
1031420,1031420,986921,Warri,Nigeria,0.0451,w,572,5.5186186,5.7480196
1025510,1025510,1013240,Kayseri,Turkey,0.0121,w,573,38.7219011,35.4873214
1024520,1024520,993097,Chengde,China,0.0316,w,574,40.7721353,118.163919
1022920,1022920,983352,Owerri,Nigeria,0.0402,w,575,5.489736,7.0341973
1021920,1021920,1018010,Rotterdam,Netherlands,0.0038,w,576,51.9244424,4.47775
1021580,1021580,999721,Pingxiang Jiangxi,China,0.0219,w,577,27.5440835,113.9513109
1019600,1019600,991208,Zhucheng,China,0.0286,w,578,35.9957253,119.4041185
1017780,1017780,1005010,Songkhla,Thailand,0.0127,w,579,6.8790221,100.5498542
1016580,1016580,1008600,Valparaiso,Chile,0.0079,w,580,-32.5976089,-70.8529753
1016400,1016400,991876,Dehradun,India,0.0247,w,581,30.49981565,77.86254573947093
1013670,1013670,1000950,Nonthaburi,Thailand,0.0127,w,582,13.8610918,100.3456772
1013190,1013190,978327,Leiyang,China,0.0356,w,583,26.4255243,112.8545783
1012790,1012790,986899,Dushanbe,Tajikistan,0.0262,w,584,38.585694700000005,68.7603746751885
1012580,1012580,969322,Nampula,Mozambique,0.0446,w,585,-14.966969,39.2707752
1011120,1011120,984193,Misratah,Libya,0.0274,w,586,32.3745923,15.0905803
1010550,1010550,1001160,Krasnodar,Russia,0.0094,w,587,45.0351532,38.9772396
1009730,1009730,986248,Laiwu,China,0.0238,w,588,36.2150252,117.6698329
1009590,1009590,1000480,Bordeaux,France,0.0091,w,589,44.841225,-0.5800364
1008990,1008990,993175,Jixi Heilongjiang,China,0.0159,w,590,45.2928513,130.9619259
1008220,1008220,982021,San Pedro Sula,Honduras,0.0267,w,591,15.5062156,-88.0248937
1007600,1007600,1007720,Odesa,Ukraine,-0.0001,w,592,46.4843023,30.7322878
1004250,1004250,982777,Jiujiang,China,0.0218,w,593,29.388607,115.3820227
1003020,1003020,958548,Lubango,Angola,0.0464,w,594,-14.9195617,13.4897509
1002460,1002460,988744,Morelia,Mexico,0.0139,w,595,19.7027116,-101.1923818
1001160,1001160,970129,Jos,Nigeria,0.032,w,596,9.9175125,8.8979401
999374,999374,964291,Sylhet,Bangladesh,0.0364,w,597,24.89922,91.8685271
998146,998146,979248,Agadir,Morocco,0.0193,w,598,30.4205162,-9.5838532
997164,997164,985843,Jacksonville,United States,0.0115,us,599,30.3321838,-81.655651
996756,996756,978468,Fort Worth,United States,0.0187,us,600,32.753177,-97.3327459
993352,993352,995078,Volgograd,Russia,-0.0017,w,601,48.7081906,44.5153353
992414,992414,975348,Mudanjiang,China,0.0175,w,602,44.635006,130.013384
990310,990310,967428,Guigang,China,0.0237,w,603,23.3594346,110.0412939
987814,987814,958487,Najaf,Iraq,0.0306,w,604,32.0010227,44.3299926
985965,985965,958335,Bangui,Central African Republic,0.0288,w,605,4.3635118,18.5835913
984567,984567,979882,Austin,United States,0.0048,us,606,30.2711286,-97.7436995
983707,983707,961991,Rajshahi,Bangladesh,0.0226,w,607,24.6285432,89.0376862
983694,983694,955663,Hengshui,China,0.0293,w,608,37.7364305,115.6677229
983097,983097,969804,Jerusalem,Israel,0.0137,w,609,31.7788242,35.2257626
980054,980054,955519,Zhangzhou,China,0.0257,w,610,24.5164639,117.6424895
979303,979303,952278,Xinyu,China,0.0284,w,611,27.853572,114.8867147
978614,978614,951822,Linfen,China,0.0281,w,612,36.229963,111.381767
978317,978317,953768,Tianmen,China,0.0257,w,613,30.6659683,113.1605599
978202,978202,964266,Ciudad Guayana,Venezuela,0.0145,w,614,8.3223763,-62.6896622
977081,977081,960349,Zamboanga City,Philippines,0.0174,w,615,6.9046909,122.076462
976606,976606,956079,Yangjiang,China,0.0215,w,616,22.0958223,111.7831393
974518,974518,940600,Taiz,Yemen,0.0361,w,617,13.5752242,44.0215268
972485,972485,963045,Cucuta,Colombia,0.0098,w,618,7.8971458,-72.5080387
971296,971296,958998,Arequipa,Peru,0.0128,w,619,-16.3988667,-71.5369607
970907,970907,936997,Liling,China,0.0362,w,620,27.6528937,113.4354686
968288,968288,946653,Antipolo,Philippines,0.0229,w,621,14.5871972,121.1759246
968070,968070,955226,Veracruz,Mexico,0.0134,w,622,19.333333,-96.666667
967627,967627,951417,Reynosa,Mexico,0.017,w,623,26.0907673,-98.2788191
965483,965483,955104,Khulna,Bangladesh,0.0109,w,624,22.9372087,89.2852741
963160,963160,939166,Deyang,China,0.0255,w,625,27.5817305,89.0920666
962126,962126,950048,Pathum Thani,Thailand,0.0127,w,626,14.048667,100.5640405
959784,959784,944465,Bengbu,China,0.0162,w,627,30.7904211,93.1447641
959250,959250,933395,Jiangyin,China,0.0277,w,628,31.9215518,120.2808847
959202,959202,951531,Southampton,United Kingdom,0.0081,w,629,50.9025349,-1.404189
958118,958118,943530,Villahermosa,Mexico,0.0155,w,630,17.9884657,-92.9366326
956976,956976,927532,Baishan,China,0.0317,w,631,41.9369269,126.4184919
956433,956433,969655,San Jose,United States,-0.0136,us,632,37.3361663,-121.890591
951808,951808,948149,Nice,France,0.0039,w,633,43.7009358,7.2683912
950768,950768,935947,Oran,Algeria,0.0158,w,634,35.7044415,-0.6502981
947734,947734,934341,West Rand,South Africa,0.0143,w,635,-26.223139,27.513101682026473
947634,947634,904676,Cabinda,Angola,0.0475,w,636,-5.056395,12.3211749
947460,947460,904139,Umuahia,Nigeria,0.0479,w,637,5.5324032,7.4924165
944877,944877,905814,Bogra,Bangladesh,0.0431,w,638,24.8500662,89.3728431
944812,944812,919654,Bahawalpur,Pakistan,0.0274,w,639,29.394644,71.6638747
942159,942159,941508,Seongnam,South Korea,0.0007,w,640,37.4201556,127.1262092
940205,940205,918324,Guntur,India,0.0238,w,641,16.2915189,80.4541588
936766,936766,941586,Dnipro,Ukraine,-0.0051,w,642,51.9191343,30.8243039
934936,934936,926095,Campo Grande,Brazil,0.0095,w,643,-20.4640173,-54.6162947
933392,933392,919443,Malang,Indonesia,0.0152,w,644,-7.9771308,112.6340265
932892,932892,922425,Londrina,Brazil,0.0113,w,645,-23.3112878,-51.1595023
932648,932648,917936,Dandong,China,0.016,w,646,40.5791477,124.4407146
930620,930620,910743,Changzhi,China,0.0218,w,647,36.1830167,113.0992929
929961,929961,915060,Hermosillo,Mexico,0.0163,w,648,28.96893455,-111.44731686054334
924670,924670,906581,Bhiwandi,India,0.02,w,649,19.3025562,73.0588072
923715,923715,914036,La Plata,Argentina,0.0106,w,650,-34.9206797,-57.9537638
923164,923164,911311,Charlotte,United States,0.013,us,651,35.2272086,-80.8430827
922871,922871,917032,Liverpool,United Kingdom,0.0064,w,652,53.4071991,-2.99168
921601,921601,902353,Ashgabat,Turkmenistan,0.0213,w,653,37.9404648,58.3823487
920916,920916,911862,Concepcion,Chile,0.0099,w,654,-36.8270698,-73.0502064
919280,919280,897983,Puducherry,India,0.0237,w,655,10.91564885,79.80694879844232
919026,919026,898338,Changde,China,0.023,w,656,29.034552,111.6928724
918675,918675,913376,Bergamo,Italy,0.0058,w,657,45.756655699999996,9.754219200862249
918218,918218,894388,Firozabad,India,0.0266,w,658,27.178397150000002,78.38936471833091
917639,917639,896716,Erbil,Iraq,0.0233,w,659,36.1911744,44.0094145
916862,916862,903815,Tyumen,Russia,0.0144,w,660,57.153534,65.542274
916632,916632,903896,Trujillo,Peru,0.0141,w,661,-8.1116778,-79.0287742
916238,916238,900692,Liaoyang,China,0.0173,w,662,41.2055415,123.0889656
915823,915823,895111,Shangqiu,China,0.0231,w,663,34.4168215,115.6507447
915427,915427,913175,Columbus,United States,0.0025,us,664,39.9622601,-83.0007065
914300,914300,912734,Ulsan,South Korea,0.0017,w,665,35.5391697,129.3119136
913075,913075,897694,Tuxtla Gutierrez,Mexico,0.0171,w,666,16.753801,-93.115959
906765,906765,875496,Kuerle,China,0.0357,w,667,0.0,0.0
905868,905868,892254,Soshanguve,South Africa,0.0153,w,668,-25.5263889,28.0994444
904070,904070,886381,Xingtai,China,0.02,w,669,37.0616519,114.499746
903910,903910,888620,Culiacan,Mexico,0.0172,w,670,24.7978965,-107.393395
902621,902621,871457,Quzhou,China,0.0358,w,671,36.7698986,114.9585243
901820,901820,870465,Cherthala,India,0.036,w,672,9.740204,76.33246715541219
893107,893107,876930,Huangshi,China,0.0184,w,673,30.2024971,115.0334144
889767,889767,876131,Fuxin,China,0.0156,w,674,42.0151733,121.6452868
885882,885882,839046,Lokoja,Nigeria,0.0558,w,675,7.802355,6.7430327
884753,884753,872438,Hufuf-Mubarraz,Saudi Arabia,0.0141,w,676,0.0,0.0
883920,883920,869773,Libreville,Gabon,0.0163,w,677,0.4086518,9.4418849
883326,883326,860522,Yongzhou,China,0.0265,w,678,25.781344,111.6979977
882986,882986,861978,Xinghua,China,0.0244,w,679,32.9139151,119.8476035
882209,882209,887716,Donetsk,Ukraine,-0.0062,w,680,48.0158753,37.8013407
881480,881480,864910,Yibin,China,0.0192,w,681,28.58689,104.718661
876665,876665,879293,Indianapolis,United States,-0.003,us,682,39.7683331,-86.1583502
875552,875552,846560,Enugu,Nigeria,0.0342,w,683,6.5536094,7.4143061
875392,875392,869625,Tainan,Taiwan,0.0066,w,684,22.9912348,120.184982
873268,873268,855191,Xinyang,China,0.0211,w,685,32.075,114.853333
872424,872424,857225,Ipoh,Malaysia,0.0177,w,686,4.6471782,101.18842590777567
870714,870714,857683,Luzhou,China,0.0152,w,687,28.5297899,105.5382725
870502,870502,859209,Banghazi,Libya,0.0131,w,688,0.0,0.0
870201,870201,844747,Maiduguri,Nigeria,0.0301,w,689,11.8395375,13.1536214
869585,869585,851630,Yangquan,China,0.0211,w,690,37.8568575,113.5739616
869575,869575,843754,Huaihua,China,0.0306,w,691,27.5611227,109.963365
869479,869479,849580,Xiaogan,China,0.0234,w,692,31.176413,113.922434
858672,858672,837479,Tianshui,China,0.0253,w,693,34.5797531,105.7062921
856339,856339,812090,Bunia,DR Congo,0.0545,w,694,1.5620529,30.2478844
854946,854946,830125,Bozhou,China,0.0299,w,695,33.8490794,115.7730968
853635,853635,818628,Kottayam,India,0.0428,w,696,9.6287383,76.64553257390992
852608,852608,834782,Zhuji,China,0.0214,w,697,29.7296617,120.1805427
851399,851399,826414,Kunshan,China,0.0302,w,698,31.3869323,120.9764683
851061,851061,844249,Quebec City,Canada,0.0081,w,699,46.8137431,-71.2084061
850233,850233,849687,Palermo,Italy,0.0006,w,700,38.1112268,13.3524434
849251,849251,841108,Winnipeg,Canada,0.0097,w,701,49.8955367,-97.1384584
848443,848443,835900,Orumiyeh,Iran,0.015,w,702,37.548341,45.0667111
848002,848002,834065,Eskisehir,Turkey,0.0167,w,703,39.7743941,30.519116
843207,843207,809468,Benguela,Angola,0.0417,w,704,-12.9104657,14.0356608
841928,841928,818057,Jincheng,China,0.0292,w,705,35.4913132,112.8454497
839770,839770,838301,Valencia,Spain,0.0018,w,706,39.4697065,-0.3763353
838928,838928,826777,Heze,China,0.0147,w,707,35.2313038,115.5019149
837687,837687,838377,Saratov,Russia,-0.0008,w,708,51.530018,46.034683
837660,837660,816293,Nellore,India,0.0262,w,709,14.4493717,79.9873763
836344,836344,821132,Huludao,China,0.0185,w,710,40.7515443,120.8404789
835850,835850,800010,Zanzibar,Tanzania,0.0448,w,711,-6.1664908,39.2074312
835805,835805,825581,Barcelona Puerto La Cruz,Venezuela,0.0124,w,712,10.1824332,-64.65890931552318
835802,835802,818566,Bikaner,India,0.0211,w,713,28.0159286,73.3171367
834639,834639,821192,Haicheng,China,0.0164,w,714,40.8522995,122.7477959
831360,831360,813394,Gebze,Turkey,0.0221,w,715,40.8006696,29.431767
830623,830623,811451,Taixing,China,0.0236,w,716,32.1738588,120.0466771
830004,830004,813369,Liaocheng,China,0.0205,w,717,36.4441808,115.9642007
829361,829361,804537,Zhumadian,China,0.0309,w,718,33.0115818,114.0164565
828712,828712,823431,Newcastle upon Tyne,United Kingdom,0.0064,w,719,54.9738474,-1.6131572
827967,827967,807833,Langfang,China,0.0249,w,720,39.5302055,116.6926134
826919,826919,826981,Bucheon,South Korea,-0.0001,w,721,37.5014422,126.7660139
823199,823199,800793,Sulaimaniya,Iraq,0.028,w,722,35.5570501,45.4425963
822863,822863,811041,Xalapa,Mexico,0.0146,w,723,19.5408338,-96.9146374
822471,822471,783243,Malanje,Angola,0.0501,w,724,-9.535332,16.9364293
821765,821765,791931,Anqiu,China,0.0377,w,725,36.4794705,119.2129818
821435,821435,813320,Sorocaba,Brazil,0.01,w,726,-23.5003451,-47.4582864
821154,821154,797964,Gaomi,China,0.0291,w,727,36.3654065,119.8005385
820886,820886,802600,Dasmarinas,Philippines,0.0228,w,728,14.3270819,120.9370871
820297,820297,803194,Cagayan de Oro City,Philippines,0.0213,w,729,8.4810956,124.645052
818761,818761,795835,Hanchuan,China,0.0288,w,730,30.6562575,113.8329583
818037,818037,796756,Meishan,China,0.0267,w,731,30.079061,103.8458201
816848,816848,814332,Bologna,Italy,0.0031,w,732,44.4938203,11.3426327
815869,815869,798382,Ar-Rayyan,Qatar,0.0219,w,733,24.9304741,50.9776887766882
814980,814980,814524,Thessaloniki,Greece,0.0006,w,734,40.6403167,22.9352716
814491,814491,791214,Muzaffarnagar,India,0.0294,w,735,29.44969785,77.74293325807088
813379,813379,786192,Kayamkulam,India,0.0346,w,736,9.1723603,76.500061
813078,813078,806757,Nottingham,United Kingdom,0.0078,w,737,52.9534193,-1.1496461
811446,811446,801853,Nakhon Ratchasima,Thailand,0.012,w,738,14.9747339,102.0981161
810450,810450,789755,Danyang,China,0.0262,w,739,32.0109736,119.6012702
810149,810149,771514,Ibb,Yemen,0.0501,w,740,14.1419291,44.1389849
808263,808263,792620,Amravati,India,0.0197,w,741,21.15454115,77.64429617998744
808079,808079,796509,Jiaozuo,China,0.0145,w,742,35.1375,113.143889
802900,802900,793927,Vereeniging,South Africa,0.0113,w,743,-26.6747222,27.9261111
801634,801634,788276,Gorakhpur,India,0.0169,w,744,26.6677977,83.364233378331
800636,800636,778187,Gaza,Palestine,0.0288,w,745,31.5128679,34.4581358
800529,800529,796437,Frankfurt,Germany,0.0051,w,746,50.1106444,8.6820917
795987,795987,779535,Anqing,China,0.0211,w,747,30.6592336,116.6302585
795916,795916,797865,Niigata,Japan,-0.0024,w,748,37.6452283,138.7669125
795808,795808,771515,Oshogbo,Nigeria,0.0315,w,749,7.7791666,4.5538891
795777,795777,776076,Linhai,China,0.0254,w,750,28.8616886,121.1402223
794279,794279,784230,Shaoguan,China,0.0128,w,751,24.8309489,113.8155263
794143,794143,774321,Erduosi-Ordoss,China,0.0256,w,752,0.0,0.0
793545,793545,760129,Merca,Somalia,0.044,w,753,1.6530383,44.775966682523844
792925,792925,778280,Bur Sa'id,Egypt,0.0188,w,754,31.1821275,32.37258196500135
792350,792350,762981,Kitwe,Zambia,0.0385,w,755,-12.8104186,28.2068361
791839,791839,767188,Yan'an,China,0.0321,w,756,36.602796,109.4873978
789558,789558,775559,Cuttack,India,0.0181,w,757,20.4686,85.8792
788478,788478,808988,San Francisco,United States,-0.0253,us,758,37.7792588,-122.4193286
786843,786843,781047,Hamilton,Canada,0.0074,w,759,43.2560802,-79.8728583
786197,786197,766007,Zaria,Nigeria,0.0264,w,760,11.1134917,7.7188449
785125,785125,770959,Banjarmasin,Indonesia,0.0184,w,761,-3.3247398500000003,114.59750526571096
783041,783041,759150,Dengzhou,China,0.0315,w,762,32.6880537,112.0818901
783020,783020,767161,Belgaum,India,0.0207,w,763,15.8572666,74.5069343
781925,781925,764628,Malegaon,India,0.0226,w,764,20.2585033,76.97657401490227
781875,781875,744247,Goma,DR Congo,0.0506,w,765,-1.6665685,29.225652
779684,779684,768075,Zigong,China,0.0151,w,766,29.3419256,104.7761224
778628,778628,766782,Qingyuan,China,0.0154,w,767,23.6832984,113.0505994
777193,777193,754711,Yuncheng,China,0.0298,w,768,35.218039,111.053715
776404,776404,761169,Shaoyang,China,0.02,w,769,27.2431609,111.4624572
775672,775672,757224,Yanji,China,0.0244,w,770,43.0718986,129.3755747
775455,775455,752744,Tirupati,India,0.0302,w,771,13.6282907,79.4195276
775097,775097,758185,Maturin,Venezuela,0.0223,w,772,9.7422774,-63.1888854
774356,774356,750102,Yuxi,China,0.0323,w,773,24.3511487,102.527044
773141,773141,744371,Akure,Nigeria,0.0387,w,774,7.2525595,5.1932647
772756,772756,756158,Tongliao,China,0.022,w,775,43.6151762,122.2601035
770962,770962,753325,Sialkot,Pakistan,0.0234,w,776,32.4935378,74.5411575
770032,770032,752916,Tongling,China,0.0227,w,777,30.9057603,117.6141351
769396,769396,769417,Krakow,Poland,0.0,w,778,50.0469432,19.997153435836697
768822,768822,766703,Ansan,South Korea,0.0028,w,779,37.3217152,126.8308604
768512,768512,751679,Wuzhou,China,0.0224,w,780,23.5715402,111.0139268
767532,767532,748257,Dazhou,China,0.0258,w,781,31.345115,107.650683
765887,765887,750097,Suining Sichuan,China,0.0211,w,782,30.5061493,105.574542
763312,763312,749073,Mangalore,India,0.019,w,783,12.8698101,74.8430082
761903,761903,749763,Jiamusi,China,0.0162,w,784,47.02157,132.044137
759915,759915,755078,Seattle,United States,0.0064,us,785,47.6038321,-122.330062
759157,759157,734699,Al-Hudaydah,Yemen,0.0333,w,786,15.1159326,42.844785
757915,757915,741818,Sargodha,Pakistan,0.0217,w,787,32.0889657,72.6776943
757823,757823,722836,Nay Pyi Taw,Myanmar,0.0484,w,788,19.7540045,96.1344976
757506,757506,729768,Tamale,Ghana,0.038,w,789,9.4051992,-0.8423986
757137,757137,749188,Sao Jose dos Campos,Brazil,0.0106,w,790,-23.1867782,-45.8854538
757035,757035,739682,Bacoor,Philippines,0.0235,w,791,14.458816,120.959579
756344,756344,738200,Dongtai,China,0.0246,w,792,32.8536216,120.3122464
755752,755752,733810,Zhangjiagang,China,0.0299,w,793,31.8782976,120.5514595
755577,755577,738552,Nanded Waghala,India,0.0231,w,794,19.169335,77.311013
754446,754446,743491,Xianyang Shaanxi,China,0.0147,w,795,34.3323227,108.7128495
753708,753708,729276,Amara,Iraq,0.0335,w,796,31.8497708,47.1496466
753392,753392,748428,Zarqa,Jordan,0.0066,w,797,32.0668425,36.0885771
751493,751493,737128,Bhavnagar,India,0.0195,w,798,21.7718836,72.1416449
751303,751303,745876,Sheffield,United Kingdom,0.0073,w,799,53.3806626,-1.4702278
751297,751297,727641,Huambo,Angola,0.0325,w,800,-12.6076318,15.7411039
750174,750174,742115,Ribeirao Preto,Brazil,0.0109,w,801,-21.1776315,-47.8100983
750036,750036,738495,Panzhihua,China,0.0156,w,802,26.5860102,101.7179276
